ds,yhat,yhat_lower,yhat_upper
2026-06-25,51377.33543848193,49532.23989209174,53391.027366815615
2026-06-26,49923.726285318524,47962.90476195352,51954.042385281624
2026-06-27,45663.634377983624,43655.05959870782,47555.72744421043
2026-06-28,40731.814057488824,38743.27690129468,42749.2714093816
2026-06-29,45829.02045070863,43856.136618412245,47721.04619530015
2026-06-30,46737.28297092086,44752.067905102725,48686.61294337359
2026-07-01,46077.95588067013,43941.24662678778,48019.757294035946
2026-07-02,46003.03814434813,43966.703715036354,48072.32877023303
2026-07-03,45303.64146384186,43245.14814010006,47281.61694930434
2026-07-04,41679.71501493138,39870.23201244918,43792.20875015928
2026-07-05,40142.827358012786,38058.53165754919,42087.627176865055
2026-07-06,43582.415981201666,41584.47915108986,45576.80661531643
2026-07-07,44857.31653850213,43055.952057195485,46779.75132758037
2026-07-08,45373.89970913259,43480.058363613876,47345.689977900605
2026-07-09,45790.57203508362,43729.61504709078,47714.21597831732
2026-07-10,45132.42896230471,43188.43523985309,47105.98953938961
2026-07-11,40922.356579135885,38861.96995719491,42848.12370664977
2026-07-12,39394.19643789387,37539.88126036693,41388.53632466643
2026-07-13,44906.85443081091,42842.56506744398,46985.969383042095
2026-07-14,41951.276906330124,39916.493920543835,43920.62561680548
2026-07-15,45694.04974639065,43830.07194891213,47654.93524331261
2026-07-16,45487.12651144768,43408.20266995414,47512.596909059655
2026-07-17,44610.897860529454,42741.32581234814,46530.405813481804
2026-07-18,40209.45739692662,38296.07932222978,42252.345799997274
2026-07-19,38470.255542004845,36602.46822209876,40434.61661476407
2026-07-20,43856.53900120723,42087.75866565302,45993.511400322415
2026-07-21,44347.826871016834,42496.36354509334,46299.51811051768
2026-07-22,44545.52493928872,42691.67992499183,46445.26874258668
2026-07-23,44347.17633303425,42421.89809257647,46271.389584621145
2026-07-24,43563.140207700424,41574.01540442398,45515.31642508464
