ds,yhat,yhat_lower,yhat_upper
2026-06-25,51051.95144588056,48840.01366517424,52841.95701623032
2026-06-26,49671.46761724929,47573.68500533008,51601.67006745884
2026-06-27,45751.038029217074,43698.14470050652,47657.85543751157
2026-06-28,40529.074818946145,38428.01217722026,42628.90877300433
2026-06-29,45425.74532068885,43442.82402600432,47216.83757573241
2026-06-30,46863.00084855831,44832.234751369266,48814.94919604021
2026-07-01,46318.82614227026,44343.64210765733,48313.59467478256
2026-07-02,45768.73133079101,43743.44387997498,47734.76621383664
2026-07-03,45984.85131086905,43922.932134941504,48061.29568077287
2026-07-04,41339.87963917194,39333.32624628005,43458.31883078401
2026-07-05,39526.87484164808,37589.39763932655,41672.48058567827
2026-07-06,44468.75933650408,42336.57975110097,46453.92477951769
2026-07-07,47276.41844749566,45261.64727956787,49251.44853988862
2026-07-08,49812.39751262731,47902.88632650404,51876.78408973002
2026-07-09,46477.85144941308,44620.88583139091,48297.77696103085
2026-07-10,43746.166555339354,41810.10026186254,45819.85956962602
2026-07-11,41374.4363124064,39260.462059312194,43342.606177988855
2026-07-12,39567.521872176,37483.234081262,41591.75521922378
2026-07-13,45069.495294741515,43062.14737165042,46972.31982677699
2026-07-14,42035.89151586204,40066.67039716725,44011.03515842641
2026-07-15,45851.2498529618,43919.37422440417,47956.64658717741
2026-07-16,45618.30082457722,43601.021562883565,47597.61369518125
2026-07-17,44766.60366818732,42827.961632521015,46836.611142707116
2026-07-18,40364.127378670426,38339.6744755629,42417.78466600985
2026-07-19,38601.8535202112,36679.737522270625,40442.73687288184
2026-07-20,43976.26623069816,42004.54321178659,45948.59973292362
2026-07-21,44452.33657826766,42535.52505086331,46434.06078089001
2026-07-22,44659.80048044503,42608.59385819236,46663.17863343469
2026-07-23,44436.21456989162,42386.16940686858,46504.449821953676
2026-07-24,43679.08878570838,41643.869702986325,45663.85782071716
